CODCost,_id,cost,courier,courier_id,createdAt,customCourierCost,customCourierVatCost,deliverDate,estimatedDeliverDate,finalWeight,insuranceCost,isAdjusted,isCompared,isPickUpDone,isPickUpFailed,isReturn,isShipped,method,mrr,otn,packages,pickUpCode,pickupDate,processDate,vatCost,weight
0,623d6e3d34b237c7cfabb70b,0.09,envialia,367,2022-03-25T07:24:45.032Z,0.05,0,2022-03-29T17:38:00.000Z,2022-03-28T00:00:00.000Z,,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,envialia entrega antes de las 19:00,null,X1W6H8E1648193082S1,"[{""$oid"":""623d6e3c34b237519cabb70a""}]",null,2022-03-25T15:46:00.000Z,2022-03-25T07:24:46.292Z,0,0.668
0,623d6e469a24b51ea2c4aa65,0.09,mrw,780,2022-03-25T07:24:54.635Z,0.07,0,2022-03-28T12:38:00.000Z,2022-03-28T00:00:00.000Z,,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,mrw urgente 14 expedición,null,6E2GJZR1648143917S1,"[{""$oid"":""623d6e38f3909f6d9ea5dcee""}]",,2022-03-25T17:32:00.000Z,2022-03-25T07:24:57.759Z,0,0.75
0,623d6e5c6baa39131c1c5ba6,0.09,transaher,606,2022-03-25T07:25:16.593Z,0.05,0,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,transaher transaher,null,26Z4X991648193113S1,"[{""$oid"":""623d6e5b6baa3911491c5ba5""}]",,,2022-03-25T07:25:18.279Z,0,54
0,623d6e5cf3909f2cbaa5dcf6,0.09,transaher,606,2022-03-25T07:25:16.608Z,0.05,0,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,transaher transaher,null,26Z4LR21648193113S1,"[{""$oid"":""623d6e5bf3909f4308a5dcf5""}]",,,2022-03-25T07:25:18.186Z,0,50
0,623d6e5d45d546e1948982d7,2.93,seur,258,2022-03-25T07:25:17.211Z,0.09,0,2022-03-28T12:46:00.000Z,2022-03-28T00:00:00.000Z,,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,seur 24,null,7ZL34251648119610S1,"[{""$oid"":""623d6e5c45d5466c348982d6""}]",null,2022-03-25T21:55:00.000Z,2022-03-25T07:25:18.425Z,0,0.6666666667
0,623d6e65318ff978cef91d5d,0.09,transaher,606,2022-03-25T07:25:25.554Z,0.05,0,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,transaher transaher,null,26Z4Q2W1648193122S1,"[{""$oid"":""623d6e64318ff9108cf91d5c""}]",,,2022-03-25T07:25:27.102Z,0,56
0,623d6e779c4aa03934244b9f,0.09,envialia,367,2022-03-25T07:25:43.458Z,0.05,0,2022-03-29T13:39:00.000Z,2022-03-28T00:00:00.000Z,,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,envialia entrega antes de las 19:00,null,X1W6YS51648193138S1,"[{""$oid"":""623d6e739c4aa04f00244b98""},{""$oid"":""623d6e749c4aa03375244b9a""},{""$oid"":""623d6e759c4aa06c98244b9c""},{""$oid"":""623d6e769c4aa05307244b9e""}]",null,2022-03-25T15:27:00.000Z,2022-03-25T07:25:44.906Z,0,2.672
0,623d6e7b57f54f3382dcf96e,0.09,envialia,367,2022-03-25T07:25:47.095Z,0.05,0,2022-03-28T14:43:00.000Z,2022-03-28T00:00:00.000Z,,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,envialia entrega antes de las 19:00,null,X1W66N11648193144S1,"[{""$oid"":""623d6e7a57f54f38b6dcf96d""}]",null,2022-03-25T15:45:00.000Z,2022-03-25T07:25:48.221Z,0,0.668
0,623d6e7e1f7d7a07f45948da,2.93,seur,258,2022-03-25T07:25:50.057Z,0.09,0,2022-03-28T15:23:00.000Z,2022-03-28T00:00:00.000Z,,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,seur 24,null,7ZL3U8R1648050004S1,"[{""$oid"":""623d6e7d1f7d7a8c195948d9""}]",null,2022-03-25T21:55:00.000Z,2022-03-25T07:25:51.351Z,0,0.6666666667
0,623d6e972ff9d84a99df85dd,0.09,mrw,780,2022-03-25T07:26:15.963Z,0.07,0,2022-03-28T09:10:00.000Z,2022-03-28T00:00:00.000Z,,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,mrw urgente 14 expedición,null,6E2G1G11648107077S1,"[{""$oid"":""623d6e972ff9d86becdf85dc""}]",,2022-03-25T17:35:00.000Z,2022-03-25T07:26:32.452Z,0,0.5616
