_id,barcode,description,discountPrice,hsCode,name,originalId,packaged,picked,price,quantity,sku,variant,vat,weight
623d6554318ff956faf91c65,,,,,Trigo Sarraceno ECO Planeta Huerto 500 g,,TRUE,FALSE,2.08,1,122017,,4,
623d6554318ff95d53f91c69,,,,,Trigo Sarraceno ECO Planeta Huerto 500 g,,TRUE,FALSE,2.08,1,122017,,4,
623d6554318ff95e0ff91c66,,,,,Trigo Sarraceno ECO Planeta Huerto 500 g,,TRUE,FALSE,2.08,1,122017,,4,
623d6554318ff95eebf91c6a,,,,,Trigo Sarraceno ECO Planeta Huerto 500 g,,TRUE,FALSE,2.08,1,122017,,4,
623d6554318ff96ac0f91c59,,,,,"Bebida vegetal de coco sin azúcar, sin gluten y sin lactosa EcoMil 1L",,TRUE,FALSE,12.71,1,15814,,10,
623d6554318ff97331f91c71,,,,,Harina de almendra extrafina (especial pastelería) Nut&me 1kg,,TRUE,FALSE,11.99,1,242733,,10,
623d6554318ff97b7df91c70,,,,,Trigo Sarraceno ECO Planeta Huerto 500 g,,TRUE,FALSE,2.08,1,122017,,4,
623d6554318ff97f88f91c61,,,,,Pipas peladas de Girasol Eco Planeta Huerto 500 g,,TRUE,FALSE,3.78,1,122015,,4,
623d6554318ff98845f91c67,,,,,Trigo Sarraceno ECO Planeta Huerto 500 g,,TRUE,FALSE,2.08,1,122017,,4,
623d6554318ff99cbef91c60,,,,,Pipas de Calabaza Biográ (500 gramos),,TRUE,FALSE,6.13,1,112190,,4,
623d6554318ff9a71bf91c64,,,,,Sésamo integral ECO Planeta Huerto 500 g,,TRUE,FALSE,5.28,1,122016,,10,
623d6554318ff9b7c5f91c6c,,,,,Trigo Sarraceno ECO Planeta Huerto 500 g,,TRUE,FALSE,2.08,1,122017,,4,
623d6554318ff9c91af91c62,,,,,Pipas peladas de Girasol Eco Planeta Huerto 500 g,,TRUE,FALSE,3.78,1,122015,,4,
623d655445d5461cd78981bc,5899,,0,,"Respiraator FFP2 valge, 10tk",,TRUE,FALSE,5.95,1,5899,,0,0
623d655445d5462b388981b7,5897,,0,,Respiraator FFP3 2tk,,TRUE,FALSE,2.95,1,5897,,0,0
623d655445d54658318981ba,5899,,0,,"Respiraator FFP2 valge, 10tk",,TRUE,FALSE,5.95,1,5899,,0,0
623d655445d54688ae8981bb,5899,,0,,"Respiraator FFP2 valge, 10tk",,TRUE,FALSE,5.95,1,5899,,0,0
